,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
424,424220,1257473,1425109344,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.3745,1.62549,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,4,5,POINT (1.62549 11.3745),"(1.62549, 11.3745)",True,2013,3
425,424221,1257474,1425109345,,HUMAN_OBSERVATION,2013-03-22 00:00:00+00:00,11.35122,1.88314,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.88314 11.35122),"(1.88314, 11.35122)",True,2013,3
426,424222,1257475,1425109346,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.39623,1.6009,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,4,POINT (1.6009 11.39623),"(1.6009, 11.39623)",True,2013,3
427,424223,1257476,1425109347,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.39048,1.60443,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.60443 11.39048),"(1.60443, 11.39048)",True,2013,3
428,424224,1257477,1425109348,,HUMAN_OBSERVATION,2013-03-22 00:00:00+00:00,11.35352,1.88132,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.88132 11.35352),"(1.88132, 11.35352)",True,2013,3
429,424225,1257478,1425109349,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.39836,1.6001299999999998,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,16,POINT (1.60013 11.39836),"(1.6001299999999998, 11.39836)",True,2013,3
430,424226,1257479,1425109350,,HUMAN_OBSERVATION,2013-03-22 00:00:00+00:00,11.37574,1.90082,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.90082 11.37574),"(1.90082, 11.37574)",True,2013,3
431,424228,1257481,1425109352,,HUMAN_OBSERVATION,2013-04-03 00:00:00+00:00,11.38483,1.74567,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.74567 11.38483),"(1.74567, 11.38483)",True,2013,4
432,424229,1257482,1425109353,,HUMAN_OBSERVATION,2013-03-29 00:00:00+00:00,11.45435,1.48033,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.48033 11.45435),"(1.48033, 11.45435)",True,2013,3
433,424230,1257483,1425109354,,HUMAN_OBSERVATION,2013-04-03 00:00:00+00:00,11.40302,1.73983,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.73983 11.40302),"(1.73983, 11.40302)",True,2013,4
434,424232,1257485,1425109356,,HUMAN_OBSERVATION,2013-03-22 00:00:00+00:00,11.37624,1.90128,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.90128 11.37624),"(1.90128, 11.37624)",True,2013,3
435,424233,1257486,1425109357,,HUMAN_OBSERVATION,2013-04-03 00:00:00+00:00,11.40341,1.7398,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,4,POINT (1.7398 11.40341),"(1.7398, 11.40341)",True,2013,4
436,424234,1257487,1425109358,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.37708,1.62091,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.62091 11.37708),"(1.62091, 11.37708)",True,2013,3
437,424235,1257488,1425109359,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.39587,1.60103,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.60103 11.39587),"(1.60103, 11.39587)",True,2013,3
